id,ssn,date_of_visit,cost
269,590-30-3875,10/29/2022,991797
270,367-67-4747,04/17/2022,924477
271,328-65-4815,12/15/2022,826959
272,337-24-3683,08/26/2023,880356
273,668-57-5595,03/27/2023,801346
274,568-19-0177,03/27/2022,732589
275,720-20-0852,01/26/2023,252484
276,593-06-9252,01/26/2021,412549
277,359-01-2898,09/09/2022,74422
278,655-76-0874,06/21/2023,180079
279,257-98-8774,03/17/2022,444890
280,834-79-1808,05/26/2023,518106
281,399-56-6387,09/17/2022,878191
282,563-68-9077,03/30/2023,932105
283,839-18-6446,01/18/2022,918303
284,829-20-5961,09/12/2021,437400
285,895-43-8045,12/18/2021,549261
286,592-24-2502,04/20/2022,260474
287,204-87-1342,12/02/2022,568640
288,545-51-7029,07/16/2021,450722
289,448-95-9117,06/24/2022,182572
290,575-58-4260,04/13/2023,398174
291,688-35-3949,07/11/2023,44369
292,218-14-2019,09/13/2021,272458
293,241-85-6207,01/24/2022,309900
294,211-43-9561,03/11/2023,170293
295,636-33-1213,05/06/2021,642427
296,725-56-8720,07/03/2022,257668
297,104-83-7982,02/01/2023,685280
298,461-45-6937,09/03/2022,361533
299,762-11-5378,02/23/2022,700229
300,869-32-5637,11/13/2023,886838
301,855-02-3735,07/16/2021,481825
302,683-54-8354,10/28/2023,387202
303,646-44-7175,07/22/2023,683009
304,173-21-0214,05/02/2021,731142
305,606-83-3135,05/03/2021,896986
306,870-19-1193,12/08/2021,528853
307,499-82-1530,03/30/2021,731939
308,457-98-2595,01/04/2021,294975
309,870-88-2674,08/26/2023,417625
310,169-93-3044,03/30/2022,19291
311,845-45-4336,08/23/2021,735807
312,479-87-7496,02/19/2022,57180
313,156-85-6462,07/08/2022,574806
314,305-22-9294,03/19/2021,170745
315,212-35-7879,10/04/2023,351977
316,340-64-6942,04/30/2021,493074
317,591-29-5425,04/13/2021,689029
318,779-97-8268,05/02/2021,299148
319,251-95-3023,08/13/2022,86620
320,170-39-1225,01/28/2021,554847
321,595-46-2798,07/25/2022,874485
322,552-16-9734,10/16/2022,355169
323,845-85-5727,12/26/2022,438389
324,771-55-5355,01/16/2021,880945
325,491-71-1908,10/03/2023,873224
326,741-26-7140,12/30/2021,305465
327,543-30-0817,12/18/2020,290077
328,447-58-0816,10/11/2023,364171
329,304-17-2426,03/08/2021,103794
330,724-96-9204,02/24/2021,120759
331,631-97-7089,07/18/2021,250900
332,678-37-9825,07/13/2021,882650
333,564-41-0818,12/07/2022,889179
334,869-52-7457,12/14/2022,354207
335,349-15-8974,06/08/2022,668374
336,387-15-6013,12/05/2022,556555
337,823-73-6135,10/31/2021,890490
338,437-85-5003,01/10/2023,133006
339,575-23-1481,11/05/2023,328306
340,413-36-9549,03/31/2023,90480
341,240-32-0613,07/09/2023,361855
342,521-42-2768,11/26/2023,217419
343,202-87-6986,02/10/2021,715911
344,263-31-1591,04/30/2023,520279
345,466-60-0261,04/20/2021,960068
346,611-45-0210,04/22/2021,259240
347,712-79-3492,01/14/2022,159139
348,361-07-2768,12/07/2020,76573
349,753-34-1503,07/12/2022,45354
350,250-65-7974,09/11/2022,421907
351,634-47-6433,08/10/2022,477883
352,320-33-5690,07/26/2022,507550
353,565-18-7326,02/25/2021,594678
354,582-51-3129,03/22/2021,84136
355,597-31-2821,02/26/2022,360712
356,671-27-8651,03/06/2021,24961
357,785-38-4655,10/07/2023,839145
358,439-72-1529,11/28/2022,443644
359,253-51-8735,11/18/2022,539083
360,890-88-1593,11/09/2021,894244
361,244-15-7321,07/22/2021,895992
362,538-53-3481,07/29/2023,717211
363,497-63-2362,11/23/2023,795531
364,528-60-9957,07/15/2023,384968
365,750-18-7008,10/22/2021,382362
366,755-33-5390,07/15/2022,334479
367,113-75-5247,09/12/2021,136301
368,761-92-8647,12/16/2020,783600
369,164-77-0023,09/08/2022,680235
370,466-53-8311,09/15/2023,245436
371,402-59-7790,01/26/2023,662154
372,686-85-3821,04/13/2023,90031
373,238-53-5545,03/04/2023,508128
374,211-53-0263,10/18/2022,516893
375,148-30-3519,05/12/2022,298387
376,720-34-1351,09/27/2023,872174
377,387-63-9160,05/02/2022,616323
378,491-50-7159,02/19/2023,338161
379,748-86-9187,04/02/2023,339736
380,714-69-1593,01/21/2023,755471
381,482-06-4293,08/30/2021,964872
382,701-41-9120,05/15/2022,271999
383,437-98-0374,02/12/2021,961287
384,588-89-2613,10/05/2021,724267
385,687-99-4934,08/11/2023,654845
386,436-05-9588,08/02/2022,246302
387,832-31-7263,11/22/2022,708516
388,738-25-0839,02/23/2023,146630
389,572-26-4924,09/21/2023,236107
390,367-79-5978,10/08/2021,422492
391,882-59-1702,02/26/2022,700029
392,391-86-1648,11/05/2021,551354
393,243-21-6575,05/28/2022,607695
394,715-75-3600,05/25/2022,492163
395,842-99-7800,03/13/2021,849329
396,679-60-5066,10/22/2023,712463
397,417-30-9775,01/10/2022,597444
398,107-56-0229,06/07/2023,925907
399,511-68-6250,02/23/2021,787091
400,651-01-5764,07/31/2023,718218
401,382-71-7602,07/11/2023,903440
402,721-95-3205,04/11/2022,182384
403,611-50-9829,03/13/2022,338548
404,198-72-8513,11/09/2023,266213
405,350-76-3364,03/20/2023,761712
406,638-44-0125,06/11/2023,816915
407,125-87-5928,10/29/2022,914002
408,244-94-0662,07/14/2023,769483
409,820-79-5462,05/01/2021,480011
410,385-74-2565,06/03/2023,395641
411,186-88-0200,12/28/2021,977087
412,324-34-1931,12/12/2022,816060
413,830-35-4706,07/24/2023,939551
414,383-19-5824,07/01/2021,590265
415,767-85-3037,12/07/2020,806713
416,252-80-4372,11/13/2023,576566
417,678-72-1031,07/12/2023,445160
418,213-85-0847,02/03/2021,723398
419,136-55-7206,03/11/2021,523656
420,307-69-6999,03/04/2021,349087
421,866-87-1706,08/24/2023,349381
422,203-59-0800,07/12/2021,141608
423,899-79-6113,02/21/2023,373908
424,404-29-0600,02/28/2021,104614
425,846-30-1121,01/25/2023,102207
426,162-29-5103,07/17/2023,194035
427,609-97-2217,04/27/2023,635552
428,686-69-1794,10/11/2021,360450
429,790-14-0819,04/15/2022,42032
430,471-71-5108,07/27/2022,115336
431,361-39-5667,07/06/2023,797587
432,700-91-2711,09/06/2023,414423
433,835-83-9768,06/12/2022,548811
434,539-11-9037,07/08/2021,96999
435,316-30-4980,11/09/2023,725382
436,571-82-7150,08/09/2022,503102
437,377-23-0331,09/13/2023,359985
438,891-04-2755,04/17/2023,51008
439,321-41-0009,02/17/2021,905972
440,776-44-5381,01/08/2023,840906
441,854-87-0150,11/28/2021,486002
442,493-03-0250,02/21/2023,680600
443,677-56-2528,11/16/2023,14841
444,655-54-0431,07/02/2022,295415
445,897-49-7894,01/18/2022,25716
446,600-61-1203,03/12/2023,389857
447,313-77-0034,09/04/2023,682789
448,840-86-4317,11/05/2022,69728
449,771-81-1061,05/02/2023,562472
450,874-68-3224,12/10/2021,334617
451,396-54-2794,01/08/2023,698310
452,559-23-1418,02/17/2022,534947
453,305-14-1233,04/17/2022,587914
454,452-88-8819,06/02/2022,198486
455,441-04-4112,12/03/2022,94537
456,620-52-0595,05/27/2023,974793
457,573-92-4573,11/01/2022,40188
458,703-34-1193,04/01/2021,636464
459,125-77-2188,08/17/2021,276976
460,827-46-5353,10/03/2023,982000
461,816-51-1997,11/28/2023,625319
462,361-27-5223,06/25/2023,978424
463,581-11-2224,10/15/2022,382752
464,772-28-9887,05/28/2022,49194
465,108-34-9806,10/24/2022,165489
466,724-77-6087,02/07/2022,830715
467,686-65-4129,08/22/2022,418542
468,457-23-9793,08/19/2022,557417
469,123-07-6365,12/29/2022,898019
470,771-80-6370,11/01/2022,909069
471,276-22-2998,10/20/2022,898960
472,815-55-0014,05/28/2021,388187
473,101-89-7820,12/03/2020,982560
474,580-80-2274,02/26/2022,897468
475,597-09-3304,12/04/2022,970393
476,595-55-1220,07/11/2023,10285
477,601-24-3269,08/15/2021,393138
478,477-88-8835,11/12/2021,307675
479,713-93-5565,05/02/2023,925664
480,496-61-1527,02/13/2023,498233
481,218-68-4077,07/11/2021,215178
482,738-44-4007,04/11/2021,26927
483,594-43-4757,04/25/2022,132468
484,112-44-0805,06/18/2022,479449
485,311-94-7878,01/02/2023,863519
486,813-66-8708,02/09/2021,586873
487,831-09-9394,06/23/2021,927591
488,710-88-8621,12/28/2020,3458
489,366-69-6915,02/13/2023,215362
490,865-46-3925,02/22/2021,670773
491,860-42-4496,05/01/2023,730789
492,599-05-3648,01/13/2023,583972
493,565-08-9177,08/27/2022,887672
494,477-90-9996,03/25/2021,451906
495,635-47-5177,07/08/2022,573343
496,291-09-2045,09/11/2021,638785
497,155-40-6768,06/06/2023,185934
498,486-59-3196,01/07/2021,310019
499,313-52-6849,03/01/2021,682738
500,627-91-7294,09/28/2021,349494
501,311-05-9843,12/04/2023,918057
502,127-72-1942,02/19/2021,804254
503,857-95-4114,09/16/2023,929539
504,818-40-1945,10/05/2021,62765
505,725-14-1778,11/28/2021,385971
506,101-16-3756,09/08/2021,970330
507,867-49-6928,01/25/2023,364713
508,210-26-1930,05/21/2023,645740
509,208-76-9233,04/17/2023,186581
510,287-68-7527,08/15/2021,512149
511,665-64-7562,01/17/2021,590598
512,676-38-4432,12/01/2021,89942
513,263-48-5233,12/07/2021,19841
514,749-73-8209,11/07/2022,125323
515,734-06-7242,03/31/2021,196614
516,661-59-8425,06/07/2022,850303
517,617-58-8085,10/19/2023,292201
518,102-42-9265,05/21/2021,846072
519,586-46-6184,08/08/2023,233582
520,198-53-3950,12/19/2020,162446
521,489-46-7132,06/03/2021,130508
522,634-79-7981,01/10/2021,581792
523,708-31-4428,04/14/2022,729616
524,578-53-3613,12/26/2021,461243
525,270-93-6997,04/10/2021,642044
526,580-07-0251,01/23/2023,946157
527,512-01-6989,09/08/2023,882070
528,407-83-1958,03/04/2023,401963
529,223-32-9937,04/14/2023,371639
530,867-67-0988,11/26/2022,197676
531,536-60-5623,11/17/2022,493243
532,476-92-6984,01/04/2021,661256
533,365-75-4502,01/17/2022,770846
534,227-73-9253,09/05/2022,127167
535,571-55-3390,10/27/2022,943530
536,158-48-2564,12/04/2021,847817
537,343-31-7783,01/02/2022,19214
538,246-83-7325,12/06/2021,916140
539,169-73-1635,10/16/2022,994517
540,169-57-4090,08/18/2023,357539
541,416-75-5524,07/03/2021,428599
542,115-69-3605,06/25/2023,558218
543,698-09-7051,03/22/2021,912525
544,308-71-6622,11/25/2023,483397
545,166-13-8594,09/25/2023,268204
546,280-57-8523,10/04/2023,628080
547,740-36-8580,04/13/2021,752910
548,346-96-8851,09/05/2023,627122
549,435-20-8931,04/18/2022,704591
550,482-30-4631,03/21/2023,688578
551,411-62-9321,01/09/2023,268636
552,166-41-2325,02/10/2023,733333
553,457-40-9266,04/05/2023,334686
554,328-17-9204,10/15/2023,500537
555,872-90-1256,02/01/2022,988509
556,713-11-4075,11/21/2023,652068
557,359-48-9989,05/21/2022,668815
558,177-96-6482,10/07/2022,328341
559,401-40-8785,11/18/2023,783209
560,661-79-9512,08/27/2022,258394
561,825-02-4845,07/22/2021,793720
562,746-74-6587,01/16/2023,408259
563,483-31-9420,10/11/2021,775751
564,728-01-2511,09/25/2023,261944
565,343-20-3821,03/20/2023,798432
566,611-73-3556,10/14/2022,218866
567,224-68-1798,08/24/2022,499576
568,349-68-8375,10/13/2021,926942
569,389-49-5943,08/16/2021,656336
570,616-14-7872,01/20/2021,822987
571,219-01-0968,05/05/2021,219248
572,546-57-1105,01/22/2021,996607
573,427-25-8434,03/02/2023,27295
574,466-11-3547,07/31/2023,916945
575,365-96-9887,05/03/2021,129152
576,381-09-3230,07/29/2022,277266
577,253-46-9416,11/05/2021,762357
578,220-34-8926,02/06/2023,516652
579,543-23-5503,12/05/2023,1524
580,623-37-0346,09/08/2023,844329
581,485-31-1243,08/23/2023,303767
582,604-86-0600,12/09/2022,61141
583,185-64-5767,09/28/2021,303950
584,294-37-5336,08/22/2022,560103
585,641-27-7995,09/14/2023,473912
586,490-69-0911,05/10/2021,923843
587,274-92-2275,12/13/2022,950160
588,439-75-0816,04/09/2021,703921
589,122-52-2744,12/11/2022,740725
590,475-50-6800,05/19/2023,738163
591,683-42-4199,02/24/2023,521760
592,593-65-1117,11/02/2021,339149
593,450-65-7512,05/26/2021,164160
594,114-23-1042,05/28/2021,93981
595,339-24-7434,03/11/2023,816120
596,757-36-6505,08/26/2023,399988
597,791-82-6868,11/11/2023,728641
598,846-46-5868,02/27/2021,84714
599,372-24-3282,02/12/2021,467678
600,452-19-3159,05/20/2023,619833
601,398-79-6987,01/22/2021,913511
602,465-11-6476,06/09/2022,903700
603,396-61-4194,08/23/2022,629521
604,255-62-9692,04/26/2023,721358
605,344-26-1352,07/25/2023,595228
606,143-41-0339,08/14/2021,699595
607,447-46-8250,04/04/2023,295888
608,642-10-0760,08/04/2023,476040
609,562-07-5857,01/18/2023,875460
610,474-96-3559,02/20/2021,698076
611,167-80-4252,07/03/2021,18893
612,151-36-3951,03/29/2023,929203
613,512-95-9099,08/15/2023,311766
614,107-51-1482,12/20/2021,957861
615,373-06-7851,05/12/2021,820392
616,166-57-1548,03/11/2022,739259
617,880-70-6891,11/21/2023,564099
618,266-86-5553,12/29/2022,724918
619,219-97-1953,08/20/2021,378837
620,255-81-0555,07/25/2021,154713
621,800-86-7899,06/22/2022,869416
622,629-82-3992,06/26/2023,24623
623,150-91-5482,09/05/2023,700374
624,317-87-7723,07/12/2021,713207
625,403-92-5493,08/26/2023,154738
626,120-38-8957,01/11/2021,475258
627,877-58-3478,02/18/2022,614698
628,579-45-3743,12/04/2023,211561
629,663-24-9913,04/18/2022,557918
630,881-18-3711,09/11/2021,493931
631,475-21-6642,06/12/2023,18317
632,790-04-8420,01/06/2023,659027
633,491-25-0780,05/29/2021,195007
634,825-88-1122,03/08/2022,126988
635,830-01-0754,10/18/2023,567922
636,215-36-6226,04/11/2022,93675
637,276-31-4749,09/17/2023,886305
638,716-31-8316,02/17/2023,821326
639,770-90-8195,09/22/2023,708985
640,178-25-5003,01/11/2022,146815
641,416-41-0390,02/02/2022,477376
642,795-79-9711,10/21/2022,245051
643,324-75-4714,09/12/2022,892302
644,337-31-5137,01/26/2022,235001
645,288-93-5120,09/28/2021,414403
646,289-88-9256,02/20/2023,519343
647,844-31-5243,12/13/2021,708573
648,229-04-4645,04/08/2022,311633
649,855-48-3718,08/14/2023,529910
650,494-56-7483,04/13/2023,18153
651,134-59-7400,03/31/2022,608964
652,781-01-7462,06/11/2021,158984
653,125-32-1580,03/17/2022,444203
654,153-41-3999,01/23/2021,872775
655,443-39-7351,04/02/2021,914158
656,143-08-7999,06/07/2022,737202
657,899-89-1689,07/23/2023,572482
658,439-35-4218,09/11/2023,824051
659,373-17-5508,04/23/2023,503168
660,427-29-0240,11/13/2023,255965
661,637-17-0655,08/17/2021,457847
662,564-36-9449,05/31/2023,541331
663,667-13-0499,03/13/2021,120244
664,179-50-0596,12/21/2020,139959
665,343-51-2110,02/12/2021,171899
666,607-65-5092,12/23/2022,181162
667,787-66-4653,01/13/2023,575703
668,491-58-3901,01/15/2021,486857
669,491-72-5755,08/30/2021,162064
670,623-16-8576,03/26/2022,815775
671,624-43-0574,11/28/2022,516759
672,280-55-5597,06/07/2023,33901
673,585-32-0648,12/31/2020,567397
674,162-79-8630,06/25/2021,131272
675,819-96-2003,05/06/2021,300992
676,111-12-9318,12/05/2020,865615
677,226-53-4232,11/16/2023,100647
678,566-09-8438,01/03/2023,891092
679,233-39-7152,10/04/2022,377056
680,800-77-2766,02/28/2022,40576
681,435-17-9993,04/05/2021,17704
682,644-76-4950,07/31/2023,275974
683,683-13-8930,10/10/2023,52150
684,374-51-3825,10/07/2022,442413
685,718-61-4368,10/11/2023,270070
686,793-92-3961,06/19/2021,57743
687,678-77-0810,07/24/2022,888016
688,871-36-8889,11/06/2021,608669
689,344-96-7517,07/06/2021,409274
690,704-83-7063,07/16/2021,968308
691,877-18-0061,04/25/2023,20897
692,593-74-1328,10/28/2023,212853
693,585-54-5244,02/05/2021,189017
694,401-09-6212,03/21/2023,889859
695,775-11-4580,03/19/2023,455817
696,323-76-6097,11/22/2021,706051
697,543-18-7995,07/13/2022,775599
698,748-85-9177,12/04/2022,174254
699,278-30-1987,09/18/2021,379863
700,836-21-2736,06/11/2022,917458
701,430-53-2376,04/12/2022,215974
702,172-51-1929,06/18/2022,216266
703,165-16-4253,07/10/2022,113424
704,123-12-3890,03/25/2022,101396
705,660-75-5487,11/27/2023,31001
706,366-29-1869,10/08/2022,412868
707,514-49-0423,09/10/2023,770664
708,211-65-6858,12/14/2020,120395
709,231-70-8037,03/31/2023,596483
710,651-64-3256,02/21/2023,953229
711,266-15-9930,10/09/2023,596605
712,750-43-6356,11/25/2022,817237
713,550-51-8788,06/22/2023,75653
714,565-13-0884,10/19/2022,927480
715,602-02-1607,04/12/2021,576369
716,767-30-5153,04/27/2022,647480
717,711-66-7097,10/11/2023,552313
718,168-80-0987,10/29/2022,932848
719,581-16-7574,10/27/2021,62135
720,466-92-6807,12/16/2020,438992
721,847-10-9704,02/04/2021,841607
722,323-90-1352,02/21/2023,847734
723,747-25-1847,10/26/2021,879553
724,481-72-0153,04/21/2021,647709
725,347-46-3083,01/18/2023,834436
726,562-73-1243,11/15/2023,133268
727,439-09-9607,03/14/2021,581630
728,423-26-0677,08/27/2023,911547
729,642-09-0670,03/19/2023,116032
730,770-74-0245,06/19/2022,744819
731,675-21-8923,06/18/2023,488471
732,172-12-8993,09/09/2023,453876
733,743-03-9384,07/28/2023,930595
734,122-54-2287,03/24/2021,417508
735,713-43-3759,09/30/2022,543955
