id,ssn,date_of_visit,cost
157,424-74-6243,03/09/2021,320625
158,282-72-4380,12/19/2020,554481
159,825-28-1921,11/28/2023,263863
160,214-16-6442,06/01/2022,212219
161,637-31-5035,05/19/2023,118624
162,595-30-2673,12/04/2023,26287
163,735-95-9997,09/20/2021,688884
164,625-72-2444,03/21/2021,434490
165,307-55-6678,04/20/2023,189153
166,377-15-6572,08/30/2022,703440
167,206-15-0685,10/11/2021,326538
168,436-92-7260,11/03/2021,331884
169,230-35-7227,08/02/2022,219640
170,898-18-3073,03/14/2021,114176
171,565-29-9116,06/07/2022,317149
172,854-06-9776,01/15/2021,354900
173,668-03-9013,10/16/2023,487027
174,781-38-5672,10/23/2021,318932
175,393-39-3219,06/29/2021,440356
176,437-33-9736,04/05/2021,197932
177,442-98-9611,12/14/2020,205508
178,543-61-7206,12/01/2022,748785
179,277-57-3708,01/27/2023,884146
180,497-44-8140,07/25/2021,822547
181,428-67-1009,05/04/2021,199031
182,695-44-1969,08/25/2022,624902
183,162-60-2081,08/09/2023,25568
184,206-52-5275,09/29/2022,132891
185,122-88-1963,05/17/2021,656349
186,341-46-6989,08/18/2023,986181
187,526-34-5438,06/27/2023,5319
188,642-86-0671,07/25/2023,468153
189,293-96-3505,05/11/2023,330184
190,590-04-0788,10/12/2021,492544
191,775-57-2215,12/28/2022,111246
192,355-42-9804,01/23/2023,130028
193,411-27-8367,09/10/2021,575657
194,781-50-1067,01/01/2023,255650
195,114-81-8570,01/16/2023,630749
196,583-28-3791,10/28/2021,68677
197,254-61-7963,11/25/2022,167715
198,687-13-2251,07/19/2022,858527
199,728-81-9907,09/12/2021,132441
200,284-02-3117,01/01/2021,742705
201,732-36-4123,12/25/2021,304534
202,801-55-5218,04/29/2021,587370
203,857-09-8896,12/31/2020,787058
204,775-76-6154,09/07/2023,982627
205,535-29-5830,06/25/2023,246563
206,840-06-6777,02/22/2022,301330
207,172-20-5375,12/11/2022,677478
208,296-55-7639,11/17/2021,752378
209,160-39-5272,03/21/2023,261740
210,677-93-6630,01/08/2022,225358
211,151-74-3711,04/17/2023,263520
212,321-40-3568,05/14/2023,171522
213,499-53-2874,12/11/2022,516161
214,139-23-4771,07/25/2023,884666
215,859-42-3580,08/11/2021,920111
216,740-12-6799,04/21/2022,182971
217,752-67-7387,03/29/2022,539734
218,105-10-5041,07/03/2023,717654
219,681-57-1517,01/11/2021,500031
220,835-71-7831,05/22/2021,479557
221,725-02-6270,06/03/2022,963960
222,291-17-3465,04/29/2023,206153
223,578-97-7320,04/18/2023,425421
224,177-08-5043,08/16/2021,475802
225,533-40-7709,02/02/2021,17512
226,125-36-6423,07/22/2021,709916
227,712-61-4276,08/29/2022,129564
228,465-93-1549,01/22/2022,510722
229,856-88-9099,05/01/2023,66388
230,380-36-0583,03/01/2021,134159
231,383-57-2685,09/02/2021,856521
232,678-25-0272,05/14/2023,417518
233,776-32-3892,11/17/2022,997162
234,396-50-8707,09/24/2021,805611
235,239-10-6329,10/25/2023,445770
236,381-83-0004,02/26/2021,827845
237,619-06-7176,05/23/2021,790343
238,555-31-5825,11/05/2023,423093
239,124-42-4875,09/17/2023,999283
240,520-40-3714,06/11/2021,820541
241,726-57-5186,09/06/2022,854825
242,701-23-1764,03/06/2022,898899
243,515-31-0582,08/23/2021,77945
244,627-13-4037,06/09/2022,484660
245,737-37-3659,02/17/2023,413912
246,889-81-2949,08/25/2021,511562
247,742-27-6307,01/20/2021,740357
248,653-46-1050,09/10/2022,734998
249,677-58-0993,12/11/2021,295577
250,889-55-2002,12/03/2023,823501
251,727-60-3062,03/21/2022,724656
252,675-73-8112,06/19/2022,373017
253,304-63-7881,09/14/2021,199463
254,710-90-2278,05/10/2021,857859
255,549-03-1106,12/24/2020,189504
256,756-40-3154,07/25/2022,79875
257,136-25-8628,02/27/2023,431934
258,309-34-3595,10/02/2022,433548
259,407-96-7854,04/14/2021,468504
260,621-56-6417,07/20/2021,266057
261,645-98-3858,07/13/2022,333206
262,173-52-0795,12/25/2021,212215
263,713-47-1378,03/29/2021,897604
264,193-86-9461,08/28/2021,921809
265,147-84-6503,12/31/2021,77102
266,633-99-2074,05/15/2023,409110
267,596-28-4961,07/22/2021,19190
268,768-19-6951,09/01/2023,511059
269,334-15-8814,11/18/2023,440428
270,142-74-6970,12/12/2022,161530
271,594-68-5372,03/06/2022,296964
272,364-34-9493,01/11/2023,448616
273,890-17-1453,04/10/2021,995928
274,384-80-6762,10/24/2021,873293
275,116-90-5910,06/26/2021,316968
276,681-57-4535,04/01/2023,468326
277,692-89-3956,10/20/2023,789237
278,312-62-6339,12/21/2022,743834
279,808-12-9020,05/10/2022,109750
280,676-33-5935,11/01/2021,201157
281,431-34-8455,03/08/2023,76909
282,791-07-8622,05/15/2022,260809
283,444-29-0828,01/27/2021,804699
284,546-66-3082,04/23/2023,874378
285,178-02-5224,05/31/2023,301904
286,596-90-6304,11/19/2022,484716
287,579-21-0367,12/04/2021,895000
288,855-62-4928,02/12/2023,515529
289,194-56-6019,09/20/2022,765282
290,408-06-3119,12/30/2022,803484
291,713-07-1301,05/22/2023,474226
292,607-80-0507,06/17/2022,492435
293,831-95-1875,02/17/2021,450204
294,675-96-4407,08/16/2021,670482
295,154-68-9972,11/29/2021,784666
296,210-21-4311,06/28/2023,916688
297,334-28-7557,10/03/2023,630645
298,589-96-8299,04/01/2023,360172
299,357-63-6592,11/17/2021,47616
300,407-03-4211,11/01/2022,134720
301,301-13-6330,02/15/2021,161587
302,630-77-4202,08/14/2021,280923
303,110-92-4171,07/27/2021,231840
304,255-09-0048,09/26/2022,733683
305,804-32-5245,09/24/2021,928789
306,217-59-7775,05/03/2022,880118
307,174-63-5504,10/21/2023,459930
308,580-76-9105,05/03/2023,517201
309,814-02-0012,02/15/2022,666380
310,736-84-7518,07/16/2023,301051
311,108-75-0325,04/19/2021,978947
312,393-46-8452,05/12/2021,417287
313,449-65-3103,04/01/2022,982598
314,727-78-1560,10/13/2021,337158
315,189-61-8157,02/28/2021,214349
316,747-75-2975,06/11/2021,201870
317,753-38-2549,01/29/2023,898634
318,194-65-4004,07/16/2022,310456
319,157-82-6523,11/19/2021,625572
320,676-65-4823,05/31/2022,315034
321,345-86-4266,01/08/2021,459022
322,883-13-8192,11/12/2023,469048
323,237-86-5748,09/28/2023,181572
324,633-01-9350,04/03/2021,181274
325,748-76-6210,08/28/2023,591751
326,635-67-4616,03/26/2021,941970
327,744-20-4826,04/01/2021,857810
328,188-80-6169,02/02/2021,310615
329,826-02-7324,06/17/2021,598474
330,374-66-4950,01/05/2023,901091
331,458-97-3512,03/01/2021,171179
332,195-13-6783,05/28/2023,434882
333,176-08-2472,10/12/2022,171675
334,240-12-7546,01/05/2021,880400
335,641-44-3432,11/02/2022,286191
336,491-67-4382,03/08/2022,276609
337,674-59-8629,01/30/2021,406957
338,175-16-7724,03/13/2021,919904
339,813-49-1922,05/30/2021,159447
340,264-04-5396,09/15/2021,325982
341,498-20-7115,01/27/2023,489883
342,113-28-6388,05/01/2021,715261
343,720-01-5159,10/27/2021,123939
344,647-69-4577,12/02/2021,782924
345,617-98-8294,09/10/2023,794604
346,664-27-5767,07/24/2023,304116
347,386-12-7936,05/08/2023,963359
348,351-49-4582,01/22/2022,537683
349,629-39-2226,11/23/2021,516893
350,669-87-9469,01/11/2022,862901
351,464-26-6584,10/14/2021,723825
352,870-55-3789,02/08/2022,77287
353,736-95-1650,08/02/2021,381268
354,754-92-9116,10/29/2023,303520
355,166-45-7686,07/05/2022,320825
356,295-96-5461,03/19/2023,262193
357,163-65-8542,09/10/2022,778626
358,118-44-0405,08/02/2023,239540
359,771-27-1647,02/09/2023,704461
360,738-06-1449,03/06/2022,357705
361,406-58-8133,09/06/2022,749535
362,594-92-9710,11/06/2022,337769
363,838-53-6466,04/09/2021,923770
364,823-07-2964,09/17/2021,197080
365,470-89-9857,07/05/2021,433739
366,779-15-8654,02/11/2023,362647
367,216-29-4041,07/13/2022,375398
368,804-03-3091,03/21/2021,889827
369,739-29-4942,07/10/2023,844248
370,815-31-1571,03/20/2022,441068
371,681-48-4573,06/14/2021,849034
372,683-86-3496,07/16/2022,114439
373,748-33-6738,10/08/2022,590155
374,637-25-7448,12/28/2022,814050
375,819-45-7066,09/11/2021,51661
376,493-36-2796,11/04/2023,248834
377,434-24-8106,07/12/2021,315374
378,141-17-4094,06/05/2021,76235
379,124-98-9572,07/04/2022,382668
380,734-67-1548,06/02/2022,690028
381,565-35-3819,03/26/2022,153897
382,178-75-5164,03/26/2021,596885
383,875-18-0454,07/23/2021,207213
384,491-34-9893,08/30/2022,843062
385,320-44-7660,03/04/2023,612799
386,621-30-5379,12/07/2020,793753
387,404-83-8646,06/20/2021,386308
388,126-40-6800,07/03/2022,761185
389,232-75-4738,05/18/2023,253129
390,764-28-0004,03/23/2023,745449
391,231-81-1900,01/14/2023,892645
392,644-10-7179,10/28/2022,812536
393,199-95-3333,04/10/2023,227104
394,737-19-0378,01/19/2021,326822
395,513-52-7054,04/10/2021,443899
396,654-33-4007,07/29/2022,618295
397,645-73-6480,05/20/2023,351897
398,439-83-1666,04/19/2021,163617
399,700-81-7627,01/02/2021,353762
400,721-12-8508,04/04/2021,368149
401,529-71-8502,08/25/2023,392501
402,579-99-5554,04/29/2022,559125
403,409-50-4526,08/19/2023,587004
404,273-24-6012,03/22/2023,374499
405,413-66-8983,09/27/2023,714404
406,833-97-1768,09/26/2022,484761
407,460-91-1248,10/03/2021,144985
408,216-73-5626,03/15/2022,904485
409,500-51-2006,03/09/2023,763800
410,532-74-2904,09/14/2022,48652
411,654-55-0246,02/07/2023,52386
412,619-50-6502,11/15/2022,344420
413,734-81-6422,01/10/2021,624669
414,307-07-5478,11/22/2022,526637
415,472-90-5074,09/27/2021,120147
416,692-73-0780,10/21/2023,495416
417,432-33-0978,05/20/2023,978520
418,377-32-5303,07/03/2021,767568
419,394-46-4108,05/27/2023,476818
420,359-74-4798,07/21/2021,501141
421,505-79-5266,05/01/2022,580787
422,643-26-4405,02/09/2023,575419
423,795-62-8057,02/17/2023,673096
424,392-06-4867,01/30/2023,530403
425,602-76-8304,03/12/2023,415596
426,449-15-4686,05/17/2023,979799
427,483-50-6300,02/14/2023,526414
428,256-96-2245,06/20/2021,822320
429,219-99-6665,02/22/2022,537377
430,758-81-2989,08/18/2022,761087
431,403-46-5767,03/13/2023,497155
432,731-34-6709,09/28/2022,287498
433,521-60-3887,03/16/2023,218772
434,217-40-3827,05/09/2022,237628
435,404-16-1465,08/10/2023,440898
436,620-54-2585,03/27/2023,581727
437,364-57-1598,08/04/2022,859124
438,814-16-1461,06/04/2023,778616
439,672-48-9908,05/03/2021,368426
440,892-89-4905,08/15/2022,954747
441,633-84-6745,09/20/2021,470067
442,359-48-4893,05/15/2021,535747
443,268-15-4763,04/23/2021,685576
444,289-30-5185,08/27/2022,334049
445,219-35-6216,02/18/2023,601166
446,733-34-6100,12/27/2020,493820
447,413-23-1494,04/10/2021,435683
448,327-07-9785,04/03/2021,114648
449,296-43-2659,10/21/2023,853097
450,733-17-0772,05/16/2022,135487
451,599-76-8023,02/02/2023,985726
452,215-90-3930,02/04/2022,674403
453,393-12-1784,01/27/2022,714266
454,665-09-8012,10/29/2022,881409
455,888-86-5628,11/30/2023,998356
456,120-34-1902,09/14/2021,549999
457,325-62-2022,10/23/2023,674242
458,407-69-8007,06/15/2023,841366
459,243-32-2883,06/16/2021,144262
460,444-26-1574,09/22/2022,360766
461,273-45-1938,01/18/2021,42883
462,101-53-7296,04/05/2021,524662
463,460-51-5585,09/06/2023,947625
464,459-50-0439,07/07/2023,803652
465,246-66-0277,08/28/2022,435731
466,535-93-6482,03/19/2022,299209
467,506-80-0041,01/21/2022,569865
468,820-97-1625,10/26/2023,953192
469,253-93-0670,10/03/2021,227439
470,705-82-4841,08/03/2021,504558
471,209-80-7719,11/28/2023,17154
472,609-59-1009,06/13/2023,512999
473,734-35-3817,07/15/2022,769356
474,473-69-1746,05/31/2021,680107
475,617-35-1962,09/21/2022,184199
476,194-37-6475,06/12/2021,716068
477,176-28-0393,08/07/2022,266010
478,516-05-1933,04/28/2023,431010
479,322-02-8465,07/14/2023,459477
480,814-19-3634,11/07/2021,241558
481,389-91-7589,04/14/2021,114653
482,648-21-8657,08/11/2021,226690
483,418-53-8050,07/01/2021,796511
484,806-67-0821,11/03/2022,8253
485,599-85-5956,11/28/2023,977438
486,505-99-2126,06/26/2022,138130
487,144-44-4842,01/27/2022,370906
488,316-28-1052,03/25/2021,663485
489,361-07-3294,01/01/2023,482916
490,825-50-3073,03/25/2023,554267
491,899-88-9227,07/20/2021,67315
492,152-45-8674,01/10/2023,203986
493,680-67-5901,03/05/2021,517151
494,688-48-9706,08/16/2021,921315
495,605-50-5700,11/14/2022,700275
496,106-28-4831,04/15/2023,824496
497,461-96-6436,11/17/2023,175958
498,705-54-6030,12/31/2022,153266
499,651-40-8356,11/10/2021,564781
500,686-48-5009,07/07/2022,559203
501,848-04-5133,06/08/2022,695383
502,722-66-1578,04/22/2021,219156
503,416-39-0572,01/05/2022,578746
504,709-04-0881,12/24/2021,411858
505,494-66-0967,06/08/2022,495899
506,250-45-0557,05/30/2023,761285
507,142-15-8522,04/02/2023,528169
508,585-13-6613,08/19/2021,482310
509,165-57-9213,01/11/2021,17013
510,771-65-2159,07/20/2023,871892
511,698-81-1465,10/22/2023,758978
512,873-61-3200,05/28/2023,387061
513,485-47-9743,06/02/2023,177471
514,398-46-5418,03/09/2022,12086
515,158-14-6253,08/12/2022,915488
516,572-46-6666,08/21/2023,23944
517,441-34-5380,09/30/2021,381008
518,251-32-4030,08/19/2022,917974
519,470-66-4515,12/05/2023,541446
520,689-27-1488,05/21/2023,398050
521,635-54-7490,08/01/2021,763842
522,124-66-0321,08/07/2023,832617
523,641-42-7394,01/09/2022,360926
524,832-98-4545,08/15/2022,223613
525,376-04-3281,03/09/2022,904451
526,689-60-7193,05/13/2022,520036
527,665-92-5884,04/07/2023,960010
528,696-35-3082,08/22/2022,35219
529,415-84-0093,04/11/2022,469454
530,242-84-4231,02/18/2023,656965
531,371-23-7032,03/24/2022,76772
532,348-72-4086,03/07/2022,741054
533,847-29-4443,07/05/2021,913440
534,176-24-7535,07/08/2022,628967
535,133-71-5475,08/16/2023,712426
536,133-36-5552,07/07/2021,202893
537,391-23-0616,02/08/2022,645934
538,517-42-2667,07/15/2021,831602
539,721-90-5604,10/12/2023,383172
540,852-37-6267,03/04/2021,23047
541,272-32-5566,06/12/2021,99291
542,502-54-0067,04/09/2022,432334
543,893-73-6670,04/02/2022,946119
544,679-98-2566,11/03/2021,901524
545,174-11-7218,10/11/2022,791658
546,883-55-0325,04/09/2021,872727
547,741-10-5671,01/09/2022,556345
548,313-76-9698,03/16/2023,1273
549,127-53-8342,09/19/2023,174217
550,884-17-6153,02/09/2022,774285
551,359-55-8910,12/20/2022,242808
552,108-67-4076,05/26/2023,51387
553,507-10-4738,09/03/2023,738742
554,488-35-6338,12/02/2020,331954
555,168-87-1732,04/06/2022,981984
556,791-69-1268,01/22/2022,100773
557,410-27-2395,10/20/2023,337572
558,645-25-9069,11/06/2022,610190
559,307-64-1371,07/19/2022,994229
560,610-88-2723,03/04/2022,103380
561,546-51-8995,09/08/2021,640750
562,828-12-7931,12/09/2022,237825
563,113-11-9904,03/25/2021,317362
564,366-77-4110,12/03/2022,757707
565,715-38-6532,06/22/2021,171975
566,298-51-7801,03/27/2022,352284
567,402-21-2303,04/21/2022,534041
568,506-55-6873,12/30/2021,771300
569,111-44-6635,02/06/2021,19237
570,594-65-8442,02/02/2021,260444
571,712-47-8998,11/01/2023,480584
572,773-66-9730,12/24/2020,178214
573,365-82-8946,11/09/2023,412431
574,272-34-8982,03/29/2023,420925
575,324-42-3719,12/23/2022,181189
576,124-03-8350,10/06/2022,386549
577,438-28-7501,12/03/2020,341077
578,403-61-1732,12/30/2020,855848
579,760-51-7026,03/09/2021,603583
580,123-90-4056,11/03/2022,497196
581,555-89-3410,06/09/2021,688713
582,552-53-4782,11/25/2023,506854
583,114-21-5329,04/13/2023,163745
584,710-86-4764,02/01/2023,694782
585,591-52-2053,11/19/2022,24664
586,372-75-7224,08/19/2021,136433
587,426-08-2088,11/02/2023,776778
588,348-95-7663,10/14/2022,342360
589,429-07-7273,01/30/2021,562822
590,243-21-4929,09/30/2023,62303
591,394-75-0174,09/20/2021,664945
592,125-52-5041,02/11/2022,906323
593,715-91-7109,07/07/2021,131256
594,688-66-4217,10/22/2021,955354
595,769-20-0807,06/07/2021,201099
596,298-08-2268,01/05/2021,231547
597,105-11-1893,09/15/2022,253728
598,354-23-3783,09/20/2022,587124
599,112-50-7475,01/09/2022,449652
600,837-29-7722,08/14/2022,758374
601,458-70-5246,05/05/2021,409313
602,387-91-7257,05/15/2023,742579
603,702-91-6309,03/15/2021,97866
604,103-38-0578,12/10/2020,693376
605,432-39-7074,06/25/2023,138086
606,200-14-6658,12/14/2021,573295
607,103-67-2854,12/24/2020,343545
608,825-03-2680,11/29/2022,693847
609,421-95-7408,04/25/2023,714959
610,374-98-1192,04/07/2023,188729
611,780-07-4572,04/01/2021,176027
612,432-20-7662,09/02/2021,989399
613,488-57-7514,06/14/2023,857950
614,167-56-4382,07/23/2022,866869
615,672-85-3022,05/08/2021,844514
616,603-44-3321,07/16/2022,92946
617,862-08-5071,10/09/2023,396732
618,439-68-8176,05/15/2021,809347
619,869-69-1388,12/06/2020,556150
620,603-61-6036,09/11/2021,336920
621,823-56-3593,08/10/2023,620558
622,670-81-7732,12/18/2021,276351
623,760-65-4844,08/25/2023,325013
624,789-97-1856,12/22/2020,244289
625,628-48-1744,11/15/2021,359727
626,209-01-0217,12/12/2022,47774
627,141-73-4675,12/03/2021,937609
628,394-09-1216,10/13/2022,362712
629,419-01-9898,12/17/2022,457353
630,429-35-8109,06/05/2023,397311
631,377-53-1533,03/30/2023,347332
632,161-85-4165,12/30/2020,866829
633,597-12-1059,05/08/2021,361564
634,110-96-6785,05/04/2022,748805
635,294-11-3723,07/11/2021,906228
636,470-79-2663,01/24/2022,134076
637,470-02-4537,07/17/2023,103136
638,893-12-2523,09/17/2022,456709
639,875-66-3693,08/27/2023,974712
640,608-75-4148,06/15/2022,117035
641,464-46-1750,05/07/2022,519995
642,111-04-2897,06/05/2021,750461
643,188-49-9546,09/02/2021,394127
644,538-20-9864,03/23/2022,991390
645,464-23-3371,06/05/2022,311334
646,679-23-6564,01/31/2023,513993
647,882-21-0158,07/30/2023,380539
648,524-67-0956,10/20/2021,30331
649,627-26-9595,02/13/2021,447045
650,546-14-8551,02/16/2022,571553
651,410-96-3948,07/06/2022,555259
652,756-38-6729,07/15/2021,30632
653,335-14-4076,06/04/2022,81877
654,165-02-1161,09/23/2021,789355
655,399-24-6056,06/13/2023,368862
656,618-87-9626,07/03/2022,289070
657,326-76-6477,01/14/2023,987479
658,628-65-3767,09/01/2023,14019
659,681-37-2905,03/21/2022,216421
660,811-86-1332,01/01/2022,802789
661,541-33-6607,07/29/2023,657824
662,428-13-7903,12/31/2021,987289
663,737-75-5341,10/26/2023,110535
664,506-87-2425,09/21/2022,665573
665,834-48-9423,10/05/2021,391870
666,228-76-4681,03/18/2022,698067
667,203-63-9937,06/29/2021,146932
668,162-13-6647,04/21/2021,339684
669,489-80-8866,08/01/2022,497159
670,640-41-6329,03/30/2021,539858
671,133-51-7998,04/13/2021,553841
672,629-53-2682,11/26/2022,885973
673,376-69-8741,02/17/2022,471073
674,281-25-6282,10/28/2021,452440
675,291-85-1226,06/04/2022,986648
676,885-88-5936,08/18/2023,31695
677,194-94-1251,06/08/2021,990857
678,369-79-0618,01/25/2022,996733
679,511-62-6193,11/09/2023,672401
680,108-17-3414,03/02/2022,11371
681,648-65-6039,12/31/2020,254624
682,461-17-5252,10/28/2023,217630
683,767-42-6616,04/14/2023,311043
684,709-86-2906,09/07/2021,378079
685,792-03-9995,03/22/2023,442641
686,164-95-9639,06/06/2023,248399
687,536-47-6543,08/11/2022,201903
688,276-07-4127,02/20/2022,244333
689,671-85-3092,06/10/2022,57975
690,454-16-6571,09/02/2021,451080
691,364-44-1628,01/13/2022,83864
692,172-57-7532,05/11/2022,643453
693,175-01-6629,10/20/2023,359485
694,644-17-4946,05/02/2021,65025
695,734-27-1675,02/01/2022,829193
696,566-35-0605,02/10/2022,538154
697,594-94-4323,10/14/2021,680272
698,760-76-9962,08/18/2023,813708
699,537-65-5219,09/19/2023,931103
700,483-36-4209,05/20/2023,836155
701,624-36-5671,12/25/2022,261505
702,356-26-3109,01/13/2023,894825
703,857-17-3543,11/10/2021,158190
704,222-37-5594,10/03/2022,382093
705,469-60-0034,11/02/2022,251774
706,776-92-6536,03/09/2022,7201
707,495-73-4960,01/24/2023,962520
708,629-84-3777,08/03/2023,898640
709,840-42-9090,12/13/2021,207631
710,578-54-5311,05/01/2023,724596
711,562-98-1917,01/12/2022,646837
712,761-22-7123,02/12/2023,872074
713,397-38-9317,01/16/2021,610851
714,380-65-2282,01/17/2022,148758
715,626-75-4072,08/23/2022,611015
716,589-96-7903,02/10/2022,606849
717,148-53-6521,01/16/2021,904430
718,692-47-8278,10/26/2023,205172
719,732-33-3662,12/04/2022,248732
720,599-48-6354,05/22/2023,973012
721,288-74-9950,09/29/2023,740665
722,734-19-4798,01/20/2022,437527
723,586-83-3763,02/09/2023,149178
724,227-11-4733,02/27/2022,818599
725,777-40-9185,03/31/2021,573575
726,204-69-2899,08/06/2021,173747
727,171-80-1925,08/31/2022,721539
728,671-76-6975,07/28/2022,707469
729,391-67-6322,11/19/2022,477242
730,257-41-8641,06/14/2021,847970
731,867-99-5899,12/22/2021,566219
732,146-30-3887,12/08/2020,975545
733,333-41-5413,05/19/2023,435848
734,664-67-8731,04/12/2023,626315
735,143-83-6366,06/06/2022,278418
